code,longitude,latitude,elevation,channels
CDITO,-82.8727,8.5732,118.0,HHE_HHN_HHZ
RIOS,-83.5143,8.7005,81.0,HHE_HHN_HHZ
HZTE,-85.5954,10.7137,194.0,HHE_HHN_HHZ
CDM,-83.7637,9.5537,3494.0,HHE_HHN_HHZ
PJIM,-83.3082,8.501,59.0,HHE_HHN_HHZ
CPMI,-84.3815,10.2821,1718.4,HHE_HHN_HHZ
PEZE,-83.6775,9.3826,807.0,HHE_HHN_HHZ
RIFO,-83.9228,10.3172,139.0,HHE_HHN_HHZ
DUNO,-85.4937,10.0791,174.0,HHE_HHN_HHZ
JACO,-84.6595,9.6624,85.0,HHE_HHN_HHZ
HDC3,-84.1114,10.0021,1175.0,HHE_HHN_HHZ
ORTG,-85.459,10.3623,760.0,HHE_HHN_HHZ
TIGR,-83.2969,9.0284,580.0,HHE_HHN_HHZ
PBUR,-82.9088,8.0743,200.0,HHE_HHN_HHZ
OCHAL,-83.6456,9.0976,137.0,HHE_HHN_HHZ
VTLO,-83.727,10.0436,2406.0,HHE_HHN_HHZ
RIMA,-83.8636,9.7666,1665.0,HHE_HHN_HHZ
PNPB,-83.2284,8.6844,110.0,HHE_HHN_HHZ
POTG,-83.1189,9.0525,674.0,HHE_HHN_HHZ
SRBA,-83.3601,9.2321,974.0,HHE_HHN_HHZ
MRVA,-83.4425,9.824,1202.0,HHE_HHN_HHZ
VEST,-83.0425,9.7463,118.0,HHE_HHN_HHZ
PIRO,-83.3364,8.4041,40.0,HHE_HHN_HHZ
SAJU,-85.7105,10.0673,90.0,HHE_HHN_HHZ
VIMO,-83.9432,10.0242,1754.0,HHE_HHN_HHZ
CTCR,-82.7593,8.8961,1620.0,HHE_HHN_HHZ
HAYA,-83.8428,9.9801,3245.0,HHE_HHN_HHZ
VACR,-84.675,10.472,370.0,HHE_HHN_HHZ
VAVL,-84.7091,10.4373,749.0,HHE_HHN_HHZ
VIRE,-83.8975,9.9668,2971.0,HHE_HHN_HHZ
VTRT,-83.7927,10.002,2709.0,HHE_HHN_HHZ
VRGA,-85.3592,10.8755,713.0,HHE_HHN_HHZ
VTCV,-83.7267,9.9831,1664.0,HHE_HHN_HHZ
VPTE,-84.1985,10.1718,2109.0,HHE_HHN_HHZ
VPVF,-84.2297,10.2045,2431.0,HHE_HHN_HHZ
VICA,-83.8446,9.9845,3358.0,HHE_HHN_HHZ
VTUN,-83.7635,10.0226,3239.0,HHE_HHN_HHZ
VTCG,-83.7586,10.0147,3136.0,HHE_HHN_HHZ
VTCE,-83.7568,10.0246,3178.0,HHE_HHN_HHZ
VPEM,-84.2382,10.1842,2556.0,HHE_HHN_HHZ
VRBA,-85.326,10.8664,732.0,HHE_HHN_HHZ
VPLC,-84.2283,10.165,2434.0,HHE_HHN_HHZ
VMAR,-85.1205,10.8125,580.0,HHE_HHN_HHZ
QPSB,-84.1239,9.3919,52.0,HHE_HHN_HHZ
TSKT,-83.1303,8.355,187.0,HHE_HHN_HHZ
SIXA,-82.633,9.528,490.0,HHE_HHN_HHZ
DMCL,-83.8354,9.2847,900.0,HHE_HHN_HHZ
ISCA,-83.8863,8.7091,96.0,HHE_HHN_HHZ
CNKC,-82.9782,9.5921,134.0,HHE_HHN_HHZ
COLV,-84.6833,10.1878,1401.0,HHE_HHN_HHZ
SASA,-84.499,10.0705,1266.0,HHE_HHN_HHZ
OCM,-83.9623,9.8941,1607.0,HHE_HHN_HHZ
CALV,-83.9332,9.7417,2052.0,HHE_HHN_HHZ
TBLN,-83.9993,9.8237,1596.0,HHE_HHN_HHZ
VRLE,-85.3652,10.7883,921.0,HHE_HHN_HHZ
VTCV,-83.727,9.9845,1669.0,HHE_HHN_HHZ
VTLO,-83.727,10.043,2436.0,HHE_HHN_HHZ
VOPI,-85.424,10.994,700.0,HHE_HHN_HHZ
VPCR,-84.226,10.195,2470.0,HHE_HHN_HHZ
VISG,-83.849,10.017,2324.0,HHE_HHN_HHZ
VRNZ,-85.3879,10.8554,903.0,HHE_HHN_HHZ
VIRE,-83.8975,9.9668,2960.0,HHE_HHN_HHZ
VRGA,-85.3592,10.8755,714.0,HHE_HHN_HHZ
VBPN,-84.1195,10.1381,2696.4,HHE_HHN_HHZ
VPTE,-84.1984,10.1718,2117.3,HHE_HHN_HHZ
VTAC,-85.0338,10.6315,736.0,HHE_HHN_HHZ
VTCG,-83.7586,10.0147,3135.1,HHE_HHN_HHZ
VPVF,-84.2297,10.2045,2418.1,HHE_HHN_HHZ
VTCE,-83.7568,10.0246,3183.5,HHE_HHN_HHZ
CPAN,-83.866,9.871,2198.0,HHE_HHN_HHZ
PEDER,-84.3286,9.8131,166.0,HHE_HHN_HHZ
LAFE,-84.9103,9.8072,69.0,HHE_HHN_HHZ
INDI,-85.5022,9.8647,74.0,HHE_HHN_HHZ
